"p.value","m.z","t.score"
0,249.03835,0
0,109.02828,0
0,184.09707,0
0,108.04426,0
0,117.9274372,0
0,134.89342,0
0,116.9272921,0
0,224.05626,0
0,269.21234,0
0,112.98453,0
0,171.13809,0
0,191.07058,0
0,101.05947,0
0,139.03891,0
0,119.04908,0
0,245.13869,0
0,255.0486,0
0,243.12344,0
0,246.06194,0
0,193.00319,0
0,215.02108,0
0,257.21204,0
0,267.05178,0
0,223.09471,0
0,257.21208,0
0,126.02991,0
0,200.05595,0
0,269.21232,0
0,243.19642,0
0,251.12637,0
0,203.12834,0
0,194.90507,0
0,130.9826,0
0,265.10641,0
0,178.05013,0
0,201.11265,0
0,263.12928,0
0,114.98759,0
0,231.12293,0
0,217.0027,0
0,148.04269,0
0,225.11258,0
0,177.01863,0
0,179.0343,0
0,183.13828,0
0,219.02718,0
0,160.06049,0
0,154.06121,0
0,241.10812,0
0,238.10827,0
0,107.04893,0
0,117.92745,0
0,241.18066,0
0,255.11443,0
0,243.15994,0
0,248.05643,0
0,220.09757,0
0,255.10215,0
0,205.05017,0
0,149.9935,0
0,168.98824,0
0,246.08316,0
0,116.92741,0
0,232.07707,0
0,216.96844,0
0,189.07638,0
0,229.10785,0
0,203.08214,0
0,240.07491,0
0,167.03421,0
0,118.91708,0
0,117.92743,0
0,267.19674,0
0,247.17032,0
0,99.92442,0
0,258.07734,0
0,163.07538,0
0,208.06111,0
0,253.07591,0
0,172.0065,0
0,209.08138,0
0,134.04613,0
0,143.04499,0
0,93.03316,0
0,158.93795,0
0,178.07092,0
0,117.03356,0
0,195.03682,0
0,165.05474,0
0,166.05003,0
0,155.10672,0
0,165.01838,0
0,225.09582,0
0,171.06542,0
0,254.07039,0
0,118.96816,0
0,180.03272,0
0,194.90503,0
0,116.92729,0
0,223.13361,0
0,127.07533,0
0,207.05029,0
0,259.11892,0
0,222.99181,0
0,230.08215,0
0,220.06121,0
0,240.07511,0
0,215.12847,0
0,107.02378,0
0,271.19141,0
